Name,Address,State,City,PinCode,Phone,Email,,,,,,,,,,,,,,
G N M S S Co-Op Hospital & R C Bidar,AKKAMAHADEVI COLONY NEAR AXIS BANK BVB COLLEGE ROAD HAROORGERI BIDAR ,Karnataka,Bidar,585403,223038/39,gnhospital888@gmail.com,,,,,,,,,,,,,,
G Plus Heart Hospital and Vascular Intervention Centre,"Sarvodaya Classic Building,Opp Radha Nagar,Beside Cambria International School",Maharashtra,Kalyan,421301,9152607000,GPLUSHEARTHOSPITAL.KALYAN@GMAIL.COM,,,,,,,,,,,,,,
G R Hospital,"1180, ARYA NAGAR, KOSI KALAN, DIST -- MATHURA",Uttar Pradesh,Kosi Kalan,281403,7088385458,G.R.HOSPITAL01@GMAIL.COM,,,,,,,,,,,,,,
G R Hospital,"30, Souripalayam Road, Udayampalayam",Tamil Nadu,Coimbatore,641028,0422 - 2315717 / 2317012 / 2316971,grhospital.ramanathan@gmail.com,,,,,,,,,,,,,,
G S Hospital,"15/9, Ramnad Main Road Irarathanallur",Tamil Nadu,Madurai,625009,4522312243,INSURANCEGSHOSPITAL13@GMAIL.COM,,,,,,,,,,,,,,
G V Eye World,"SHWETHA COMPLEX, GROUND FLOOR,Opp. Mini Vidhana Soudha,Lamington road",Karnataka,Hubballi,580020,4261010,eyeworld.hubli@gmail.com,,,,,,,,,,,,,,
G V Hospital,RAGHAVA THEATRE LANE ,Telangana,Miryalaguda,508207,7702358595,insurance.gv2013@gmail.com,,,,,,,,,,,,,,
G. N. R. Hospital,"Door No 50/760/A,",Andhra Pradesh,Kurnool,518004,9705213191,GNRHOSPITAL.KNL@GMAIL.COM,,,,,,,,,,,,,,
G. R. Hospital And Research,"Neermarga, Mangaluru",Karnataka,Mangaluru,575029,9480416104,INSURANCE.GRMCH@GMAIL.COM,,,,,,,,,,,,,,
G.B.Vaghani Multispeciality Hospital,"75-80, Ishwarkrupa Society, Opp Maharana Pratap Udhayan, Varachha",Gujarat,Surat,395006,0261-2571012,GBVAGHANIHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
G.I Healthcare Private Limited (Kaizen Hospital),"132 FOOT RING ROAD , NEAR HELMATE CIRCLE ,",Gujarat,Ahmedabad,380052,7698844410,ipdbilling@kaizenhospital.com,,,,,,,,,,,,,,
G.R. Hospital And Fertility Centre,"No 12, City Link Road, near N.G.O. Colony, N.G.O. Colony, Ganesh Nagar, Adambakkam, Chennai",Tamil Nadu,Chennai,600088,0,,,,,,,,,,,,,,,
G.V.Jayam Multi Super Speciality Centre,"323-1/140, PUTHU MARIYAMMAN KOVIL STREET, VEERANAM MAIN ROAD, SALEM 636003",Tamil Nadu,Salem,636003,9444104345,GVJAYAM2217@GMAIL.COM,,,,,,,,,,,,,,
Gaatha Hospital,"Bhairvnath Chowk, Vadacha Mala, Gaatha Mandir Road, Bypass Dehugaon",Maharashtra,Pune,412107,9822183555,GATHAHOSPITAL10@GMAIL.COM,,,,,,,,,,,,,,
Gaayathri City Eye Hospital Pvt Ltd,"#33-1-6, Bellapu Sobhanadri Street,",Andhra Pradesh,Vijayawada,520002,8464977766,INFOVIJAYAWADA@CENTREFORSIGHT.NET,,,,,,,,,,,,,,
Gaba Hospital,"Bye - Pass Road, Yamuna Nagar",Haryana,Yamuna Nagar,135001,7322221941,gabahospital@rediffmail.com,,,,,,,,,,,,,,
Gabani Kidney Hospital,"Near Ayurved College, Railway Station, Lal Darwaja Road, Surat 39503",Gujarat,Surat,395003,0261-2537270/2531174,a_gabani@yahoo.com,,,,,,,,,,,,,,
Gagan Hospital,"158, INDUSTRIAL AREA, OLD SABZI MANDI, SAI ROAD, BADDI",Himachal Pradesh,Baddi,173205,9662736725,CLAIMS.AMARAVATIEYEHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
Gahlaut Health Care Private Limited,"C-13, New Azad Nagar, Infront Of kalyanpur Thana, Kalyanpur, behind Petrol Pump, Kanpur, Uttar Pradesh 208017",Uttar Pradesh,Kanpur,208017,8122570373,GAHLAUTHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
Gahlot Nursing Home,"Patel Park, Mahanadi Bagh, Tonk, Rajasthan",Rajasthan,Tonk,304001,245444,GEHLOTCTSCANTONK@GMAIL.COM,,,,,,,,,,,,,,
Gajanan Hospital,"Opp. Sarvoday Colony, Satbhai Mala",Maharashtra,Ahmednagar,414001,2325424,ENTGAJANAN@REDIFFMAIL.COM,,,,,,,,,,,,,,
Gajanan Hospital & Maternity Hospital,"Survey No. 40, Opp. ICICI Bank",Maharashtra,Parli,431515,224185,GAJANANHOSPITAL.MATERNITY@GMAIL.COM,,,,,,,,,,,,,,
Gajanan Hospital And Critical Care Center ,"PLOT NO 08,SARANG SOCIETY,GAJANAN MAHARAJ MANDIR CHOWK,OPP AXIS BANK LTD,GARKHEDA PARISAR,AURANGABAD-431005.",Maharashtra,Aurangabad,431005,2451055,gajananhospitalicu@gmail.com,,,,,,,,,,,,,,
Gajanan Hospitals Private Ltd,"No.29, Kakkan Street, West Tambaram",Tamil Nadu,Chennai,600045,9444412859,ghplclaims@aghospital.in,,,,,,,,,,,,,,
Gajre Hospitalneuro Centre & Women’s Clinic,"25, 26, Gandhi Nagar, Near  News.T. Bus Stand, Jilhapeth, Jalgaon-425001",Maharashtra,Jalgaon,425001,2223656,gajrehospital1957@gmail.com,,,,,,,,,,,,,,
Galav Hospital,"D5- Road , Basant Vihar",Madhya Pradesh,Gwalior,474002,4923783,GALAVHOSPITALTPA@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Care Laparoscopy Institute,"25-A, KARVE ROAD, ERANDWANE, PUNE.",Maharashtra,Pune,411004,3565326641,INSURANCE@GALAXYCARE.ORG,,,,,,,,,,,,,,
Galaxy Criticare,"1st Floor, Deepti Palace, Ghanashyam Gupte Rd, Vishnu Nagar, Dombivli West, Dombivli",Maharashtra,Thane,421202,2490079,galaxycriticare@rediffmail.com,,,,,,,,,,,,,,
Galaxy Healthcare Multi Speciality Hospital,", Unit No 2,3 & 4, 1 St Floor, Sun Moon Bldg No 13, Rajendra Nagar , Datta Pada Road, Road,Borivali (East),Mumbai-400066",Maharashtra,Mumbai,400066,9004289955,TPA.GALAXYHEALTHCARE@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Heart Institutue,"2ND 3RD FLOOR,A BLOCK, JOYOS HUB,B K ROAD,NEAR MODHERA CIRCLE",Gujarat,Mehsana,384002,230888,galaxyheartinstitute@gmail.com,,,,,,,,,,,,,,
Galaxy Hopsital And Critical Care Center ,"Deenanath Nagar ,Sawewadi,Latur 413512",Maharashtra,Latur,413512,251452,galaxyhospital.ltr@gmail.com,,,,,,,,,,,,,,
Galaxy Hospital,"Plot No-194, Shop no 101 to 106, NMS Icon building",Maharashtra,Raigad,410206,8879717976,GALAXYHOSPITALULWE@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Hospital,"Plot No 1, Near Tagore Public School, Huda Sector -2, Palwal",Haryana,Palwal,121102,8755836493,galaxycashless@gmail.com,,,,,,,,,,,,,,
Galaxy Hospital,25 Banjari near jain mandir.Vineet Kunj Road.Near Danish Kunj Sqare.Kolar Road.Bhopal Madhya Pradesh.,Madhya Pradesh,Bhopal,462042,9424470000,galaxyhospitalbpl@gmail.com,,,,,,,,,,,,,,
Galaxy Hospital,"Tulip Avenue Plot No. 03/96, On Nh 48,Pelhar, Vasai East 401208",Maharashtra,Vasai,401208,8888596137,GALAXYHOSPITAL.OFFICE@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Hospital,"Vasudev Arcade, Kanakia Road, Ahead Of Cinemax, Off Mira Bhayander Road, Mira Road, Thane -",Maharashtra,Thane,401107,9137809673/9137808924,tpa.galaxyhospital@gmail.com,,,,,,,,,,,,,,
Galaxy Hospital,"Behind Zopadi Canteen, Savedi, Ahmednagar",Maharashtra,Ahmednagar,414003,7066174819,GAALAXYHOSPITAL2012@YAHOO.COM,,,,,,,,,,,,,,
Galaxy Hospital,1/193/10 Bagh Farzana,Uttar Pradesh,Agra,282002,7726848331,GALAXYHOSPITALTPAAGRA@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Hospital & Heart Care Centre,"NH-31, Line Bazar Road, Near Kaptan Pool",Bihar,Purnia,854301,8210052435,TPAGALAXYHOSPITALPURNEA@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Hospital (A Unit Of Kanika medicaid Pvt. Ltd,"Asian Highway Ii, Near Panighata More,Upper
Bagdogra, Po. Bagdogra,Ps. Bagdogra, Dist. Darjeeling
- 734014",West Bengal,Darjeeling,734014,7679463290,GALAXYHOSPITAL.MEDICLAIM@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Hospital( A Unit Of Galaxy Life Care Services ),"DAYAL ENCLAVE , MAHMOORGANJ, NEAR TCS BUIDLING, VARANASI",Uttar Pradesh,Varanasi,221010,2221444,corporate@galaxyhospitalvaranasi.com,,,,,,,,,,,,,,
Galaxy Hospitals,"# 110 E/120/1, North By-Pass Road,",Tamil Nadu,Tirunelveli,627003,6382052044,CORPARATEBILLING.NELLAI@KAUVERYHOSPITAL.COM,,,,,,,,,,,,,,
Galaxy Multi Speciality Hospital,East Rabindra Pally Kalyani Raod(Near Wireless More),West Bengal,BARRACKPORE,700121,25922502,HOSPITALGALAXYMULTISPECIALITY@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Multispeciality Hospital,"Gandhi Road,Bardoli,, Surat, Gujarat-394601",Gujarat,Bardoli,394601,9537437545,GMHBARDOLI@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Multispeciality Hospital,1 Shrijee bunglows sun pharma road vadodara,Gujarat,Vadodara,390012,9016163989,galaxyhospitalsa@gmail.com,,,,,,,,,,,,,,
Galaxy Multispeciality Hospital,"101, B-wing, Anand Heights, SMD road, Antop Hill",Maharashtra,Mumbai,400036,24114999,tpagalaxymultispeciality@gmail.com,,,,,,,,,,,,,,
Galaxy Multispeciality Hospital,"Doctor House R Thale Arch,
Kasheli, Tal- Bhiwandi",Maharashtra,Thane,421302,8180000847,CASHLESS.GALAXYMULTIHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Superspeciality Hospital,"Plot No - 10 , Khushwa Bhau thakre Nagar",Madhya Pradesh,Jabalpur,482002,9303679961,galaxysuperhospitaljbp@gmail.com,,,,,,,,,,,,,,
Galaxy Superspeciality Hospital,"Cts No. 1124, Sra Building, Ambedkar Nagar, 90 Feet Road, Mhada Colony,",Maharashtra,Mumbai,400081,8369594006,GALAXYHOSPITAL64@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Superspeciality Hospital (A Unit Of Jagannanth Balaram Suvadra Healthcare Private Limited),"0, Kalyani Express Way, Barrackpore, Pin - 700121",West Bengal,North 24 Parganas,700121,7595032210,HOSPITALGALAXYSUPERSPECIALITY@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Superspeciality Hospital And Research Institute,"Cts No. 1561/5, Agnihotra Chowk, Ulkanagri, Aurangabad",Maharashtra,Aurangabad,431001,9404679880,GALAXYSUPERSPECIALITYHOSPITALR@GMAIL.COM,,,,,,,,,,,,,,
Galaxy Supreme Care Hospital,SN PLAZA 3 RD FLOOR OPP.ESPALIER SCHOOL TRIMURTI CHOWK KAMATWADE ROAD NASHIK,Maharashtra,Nashik,422008,7620823729,supremecarehospitalgalaxy@gmail.com,,,,,,,,,,,,,,
Gambhir Hospital,"H-74, Rajori Garden New Delhi",Delhi,New Delhi,110027,011 - 25414120 / 25437415,drpk_gambhir@yahoo.co.in,,,,,,,,,,,,,,
Ganadhal Ent And Dental Hospital,"3rd cross, SS puram,Tumakuru",Karnataka,Tumkur,572102,9844327655,munish_ent@yahoo.com,,,,,,,,,,,,,,
Ganadhipati Purushottam Shekhawati Hospital And Research Centre,"A/2, Opp Time Square Central Spine , Vidhyadhar Nagar",Rajasthan,Jaipur,302023,0141 - 2232211 / 2232194,shekhawaticashless@gmail.com,,,,,,,,,,,,,,
Ganatra Hospital,"Hospital Road, Bhuj - Kutch",Gujarat,Kutch,370001,02832 - 256200 / 223800,riteeka.thakkar1986@gmail.com,,,,,,,,,,,,,,
Gandhi eye centre,Sco 118 sector 10,Haryana,BALLABHGARH,121006,0,NA@GMAIL.COM,,,,,,,,,,,,,,
Gandhi Hospital,"C-50 & 51, Om Vihar, Uttam Nagar",Delhi,New Delhi,110059,011 - 25335135 / 25335099,GNHOME.2010@GMAIL.COM,,,,,,,,,,,,,,
Gandhi Hospital,"Near Kohinoor Technical Institute, Panvel",Maharashtra,Navi mumbai,410206,2227465023,ph_gandhi1964@yahoo.com,,,,,,,,,,,,,,
Gandhi Hospital,"Aryan Centre, 2nd Floor, Above Uti Bank Solapur Road, Hadapsar",Maharashtra,Pune,411028,020 - 26874856,gandhihospitalpune28@gmail.com,,,,,,,,,,,,,,
Gandhi Nursing Home,Sector 24 Nigdi  Pradhikaran Pune - 411004,Maharashtra,Pune,411044,9823019808,dr.nkgandhi@gmail.com,,,,,,,,,,,,,,
Ganesamoni Nursing Home,"6, Saraloor, Hindu College Road",Tamil Nadu,NagerCoil,629002,7598101010,DR.GANESAMONI@GMAIL.COM,,,,,,,,,,,,,,
Ganesh Hospital,"Iind-C/3, Nehru Nagar, Ghaziabad",Uttar Pradesh,Ghaziabad,201001,9717838137,sunil.ganeshhospital@yahoo.in,,,,,,,,,,,,,,
Ganesh Netralaya,"Near Dr Kalani Hospital, City Club Road, Parbhani",Maharashtra,Parbhani,431401,2452230803,ganeshnetralaya@rediffmail.com,,,,,,,,,,,,,,
Ganesh Netralaya,shaktinagar,Karnataka,Sirsi,581401,8384223644,ganeshnetralaya@yahoo.com,,,,,,,,,,,,,,
Ganesh Ortho Trauma And Medical Centre,"F-15/7, Krishna Nagar Near Bses Office",Delhi,New Delhi,110051,011-43146100,ganeshorth@gmail.com,,,,,,,,,,,,,,
Ganesh Orthopaedic Hospital & Joint Replecment Centre (Cashless Only For Govt Business),"RALIYATNAGAR, OPPOSITE KOHINOOR CINEMA",Gujarat,Patan,384265,7600205022,dr.babubhaip@yahoo.com,,,,,,,,,,,,,,
Ganesh Priya Hospital,"No. 194, Bye Pass Road Ponmeni Near Professional Courier",Tamil Nadu,Madurai,625016,2382699,GANESHPRIYAHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
GANGA DEVI MEMORIAL HOSPITAL,"Nagla Bhima, Near Rupam Cold",Uttar Pradesh,Mathura,281204,9675558444,GDMHOSPITAL.TPA@GMAIL.COM,,,,,,,,,,,,,,
Ganga Hospital,"#21, Thandavaraya Mudali Street, Model School Road",Tamil Nadu,Chennai,600021,044 - 25950705,gangahospital2229@yahoo.in,,,,,,,,,,,,,,
Ganga Hospital,"House No 16-7-178, Near Venkatrama Theatre Junction,",Telangana,Warangal,506002,9885888418,INSURANCEGANGAHOSPITALWARANGAL@GMAIL.COM,,,,,,,,,,,,,,
Ganga Hospital ,"MAYUR SCHOOL ROAD, GOKAK",Karnataka,Belagavi,591307,226414/6360603938,gangahospitalgokak@gmail.com,,,,,,,,,,,,,,
Ganga Jamna Hospital,"Opp. Golden Silver Apartment, Vadodara",Gujarat,Vadodara,390023,9662736727,gangajamna2000@yahoo.com,,,,,,,,,,,,,,
Ganga Medical Centre And Hospitals Pvt Ltd,"NO.313, METTUPALAYAM ROAD, COIMBATORE-641 043",Tamil Nadu,Coimbatore,641043,8754277842,GANGAINSURANCE@GMAIL.COM,,,,,,,,,,,,,,
Ganga Multi Specility Hospital,PLOT NO 19 SETHFOOL CHAND NAGAR,Madhya Pradesh,Bhopal,462046,9981990178,GANGAHOSPITAL2@GMAIL.COM,,,,,,,,,,,,,,
Ganga Nursing Home,Vill- Gholui PO- Balichak PS-Debra,West Bengal,Paschim Medinipur,721124,9932975290/ 8768034188,GANGAP54@GMAIL.COM,,,,,,,,,,,,,,
Ganga Nursing Home (Cashless Only For Pvt Insurers),Mundhwa Road,Maharashtra,Pune,411036,7507590690,dr.rajeshtapadia@gmail.com,,,,,,,,,,,,,,
Ganga Orthocare Healthy Is The New Feeling,"Football Chowk,",Punjab,Jalandhar,144002,415615,INSURANCEGANGAORTHOCARE@GMAIL.COM,,,,,,,,,,,,,,
Ganga Ram Hospital,"Sadar Bazar, Muzaffarnagar",Uttar Pradesh,Muzaffarnagar,251001,2402202,GANGARAM_HOSPITAL@YAHOO.COM,,,,,,,,,,,,,,
Ganga Rishikesh Hospital,"9, Murkute Colony, Opp. Raosaheb Thorat Hall",Maharashtra,Nashik,422002,"2232561, 2232562,2232563,2232564",GANGARISHIKESHHOSP@GMAIL.COM,,,,,,,,,,,,,,
Ganga Sahai Multi Speciality Hospital Pvt Ltd,"HUDA BYE PASS, SEC 3 , REWARI, 123401",Haryana,Rewari,123401,261066,GANGASAHAIHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
Ganga Sewa Sadan Hospital,"Chandpur Chauraha,Collectory Farm Near Banaras",Uttar Pradesh,Varanasi,221106,9935679799,CORPORATE.GANGASEWASADAN@GMAIL.COM,,,,,,,,,,,,,,
Ganga Shankar Hospital,"Near Hero Honda Showroom,Rajendra Marg",Madhya Pradesh,Ratlam,457118,9827966945,GSHOSPITAL2021@GMAIL.COM,,,,,,,,,,,,,,
Gangamai Hospital,"PLOT NO :-1, C.S.NO:- 279/2, RAMWADI ROAD, MODIKHANA, SOLAPUR",Maharashtra,Solapur,413004,9765999855,GMHCASHLESS@GMAIL.COM,,,,,,,,,,,,,,
Gangappa Hospital,"3Rd Cross, Kuvempu Nagarabm Road Channapatana",Karnataka,Channapatna,562160,8999330708,HR.GANGAPPAHOSPITAL01@GMAIL.COM,,,,,,,,,,,,,,
Gangaram Bansal Superspeciality Hospital,"3-B-1, Meera Marg, Jawahar Nagar",Rajasthan,Sri Ganganagar,335001,9413778633,bansaldr10@hotmail.com,,,,,,,,,,,,,,
Gangasheel Advanced Medical Research Institute,"C-17, Deen Dayal Puram, Behind Stadium",Uttar Pradesh,Bareilly,243122,9027431737,gangasheelhospital@gmail.com,,,,,,,,,,,,,,
Gangina Hospitals Maternity & Children & Emergency Hospital,"#12-21-2, Near Chinna Gandhi Statue, ",Andhra Pradesh,Rajahmundry,500004,9704112244,GANGINAHOSPITALS@GMAIL.COM,,,,,,,,,,,,,,
Gangothri Hospital,"# 27, Kuvempunagar, 100ft Ring Road, Bangalore",Karnataka,Bengaluru,560076,080 - 26682734,gangotrihospital@gmail.com,,,,,,,,,,,,,,
Gangotri Hospital,Infront Of Kalibadi Mandir Om Parisar Arya Naga Durg,Chhattisgarh,Durg,491001,8827774321,GANGOTRIHOSPITALDURG@GMAIL.COM,,,,,,,,,,,,,,
Gangotri Hospital And Trauma Centre,"599/371,Krisna,Nagar,Kydganj, Near Adc College",Uttar Pradesh,Prayagraj,211003,7754963554,GANGOTRIHOSPITALTRAUMA1103@GMAIL.COM,,,,,,,,,,,,,,
Ganpati Hospital,"Nh No.06, Vidya Nagar, Akashwani Chowk",Maharashtra,Jalgaon,425001,"2227257, 2217722",GANPATI.HEALTHCARECENTER@GMAIL.COM,,,,,,,,,,,,,,
Ganpati Hospital,NEAR BUS STAND VARANGAON,Maharashtra,Jalgaon,425305,9028596605,GANAPATIHOSPITAL.VAR@GMAIL.COM,,,,,,,,,,,,,,
Ganpati Memorial Multispeciality Hospital And Critical Care Unit,"Ward No 28, ",Madhya Pradesh,Balaghat,481001,9907403547,AVINASHSHAHARE7@GMAIL.COM,,,,,,,,,,,,,,
Ganpati Nursing Home,"Ganpati Nursing Home, 1st floor .shiv nirmal height.above sbi bank,mohane,ambivali, Palghar, Maharashtra-421102",Maharashtra,Mumbai,421101,9372048084,ganpatinursinghometpa@gmail.com,,,,,,,,,,,,,,
GANTA NEURO HOSPITALS ,"10-13-529 , Reddy And Reddy Colony Tirupati 517501 Tirupati District , Andhra Pradesh",Andhra Pradesh,Tirupati,517501,7075532112,GANTANEUROHOSPITALSINSURANCE1@GMAIL.COM,,,,,,,,,,,,,,
Garden City Hospital,132/18 22nd Cross 3rd Block Jayanagar Bangalore,Karnataka,Bengaluru,560011,080 -  26646202 / 26632838,gardencity_hospital81@yahoo.com,,,,,,,,,,,,,,
Garden View Nursing Home,"Tuling Road, Tuling, Nallasopara(E), Thane-09",Maharashtra,Mumbai,400009,9890138980,GVNH@REDIFFMAIL.COM,,,,,,,,,,,,,,
Garg Child Hospital,"40 NEERSAGAR MARKET, NEAR HDFC BANK,AJMER ROAD,BHANKROTA,",Rajasthan,Jaipur,302001,2251656,GARGCHILDHOSPITAL7@GMAIL.COM,,,,,,,,,,,,,,
Garg Ent Hospital,"Puran Vihar, Jagadhri, Yamuna Nagar",Haryana,Yamunanagar,135003,7876232460,TPA.GARGENTHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
Garg Eye Hospital,"57,Passy Road, Opp. Gurudware Dukh Niwaran Sahib",Punjab,Patiala,147001,9914391500,GARGEYEHOSP@GMAIL.COM,,,,,,,,,,,,,,
Garg Hospital,"Opp. Army Camp, Zira Road, Moga - 142001 ",Punjab,Moga,142001,234628 / 235628,dr.sandeep1967@gmail.com,,,,,,,,,,,,,,
Garg Hospital,"Garg Hospital, Gandhi Nagar, Golghar, Gorakhpur-273001",Uttar Pradesh,Gorakhpur,273001,9792958060,GARGHOSPITAL2010@GMAIL.COM,,,,,,,,,,,,,,
Garg Hospital,"Khurja Tempo Stand, K P Road",Uttar Pradesh,Bulandshahr,203001,05732 - 257888,GARGHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
Garg Hospital,"8-9 , A.G.C.R Enclave, Delhi",Delhi,New Delhi,110092,9818332909,gaeg.hospital@yahoo.com,,,,,,,,,,,,,,
Garg Hospital And Path Labs P Vt Ltd,"35 A -1 , Rampur Gardens, Bareilly",Uttar Pradesh,Bareilly,243001,4066524,GARGHSPBLY@GMAIL.COM,,,,,,,,,,,,,,
Garg Nursing Home,"Ram Janaki Temple, Jiwaji Ganj, Morena",Madhya Pradesh,Morena,482001,07532 - 233332,drmanojgarggnh@gmail.com,,,,,,,,,,,,,,
Garg Ophthalmic Centre Pvt Ltd,B-54 Nirala Nagar Lucknow,Uttar Pradesh,Lucknow,226020,9540852461,CASHLESS@GARGOPHTHALMIC.COM,,,,,,,,,,,,,,
Garg Surgical And Children Hospital,"Gali No. 4 , Shiva Enclave , Circular Road,Nabha - 147201",Punjab,Nabha,147201,225135,DRSUMITGARG93@GMAIL.COM,,,,,,,,,,,,,,
Gargi Hospital,"R-9/182, Raj Nagar",Uttar Pradesh,Ghaziabad,201002,9968975026,gargihospitalgzb@gmail.com,,,,,,,,,,,,,,
Garib Nawaz Eye Care,"Swami Vivekanand Path , Naya bazar",Bihar,Bhagalpur,812002,9430507041,garibnawazeyecare@gmail.com,,,,,,,,,,,,,,
Garv Gynec Hospital And Laparoscopy Centre,"3Rd Floor , Tulsi Bussiness Centre, Sahkari Jin Road, Nr. Sale India, Himatnagar- 383001",Gujarat,Himatnagar,383001,9638811880,CASHLESS.GARVGYNAECHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
Gastro And Liver Care Hospital,"1102, Madan Mahal",Madhya Pradesh,Jabalpur,482002,7770906514,GASTROANDLIVERCAREHOSPITAL@GMAIL.COM,,,,,,,,,,,,,,
Gastro Care,"71,Shastri Nagar Dadabadai Kota",Rajasthan,Kota,324009,9887337674,GASTOCARE.TPA@GMAIL.COM,,,,,,,,,,,,,,
Gastro Care Hospital,"C-57, 11th Cross, Thillai Nagar",Tamil Nadu,Trichy,620018,9345101867,gastroclaim@gmail.com,,,,,,,,,,,,,,
Gastrocare Hospital,"Regency Avenue,Syndicate",Maharashtra,Thane,421301,2321720/2328490,PALSHETKAR@REDIFFMAIL.COM,,,,,,,,,,,,,,
Gate Hospital,2 No Mathghariia,Assam,Guwahati,781020,18008913782,SURJIT.CASHLESSIND@OUTLOOK.COM,,,,,,,,,,,,,,
Gateway Clinics And Hospitals Pvt Ltd,"124,125,Ramachandra Road, Rs Puram ,Coimbatore",Tamil Nadu,Coimbatore,641002,2554955,GATEWAYCLINICSCOIMBATORE@GMAIL.COM,,,,,,,,,,,,,,
Gaur Nursing Home,"Khurjawala Mohalla,",Madhya Pradesh,Gwalior,474001,424034,DRPUKHRAJ@GMAIL.COM,,,,,,,,,,,,,,
Gaurav Hospital,"Rajeev Colony, Samaypur Road, Ballabhgarh",Haryana,Faridabad,121004,0,,,,,,,,,,,,,,,
Gaurav Maternity & Surgical Hospital,"Arunoday Towers,",Maharashtra,Mumbai,400078,8108504241,GAURAVMATERNITY@YAHOO.CO.IN,,,,,,,,,,,,,,
Gautam Hospital,"KICHHA ROAD, BIGWARA, RUDRAPUR, DISTT, UDHAM SINGH NAGAR",Uttarakhand,UDHAM SINGH NAGAR,263153,8171519629,TPA.GAUTAMHOSPITALRUDRAPUR@GMAIL.COM,,,,,,,,,,,,,,
Gautam Nursing Home And Maternity Centre,"D-2/148, Jeewa Park",Delhi,New Delhi,110059,9971323090,sharmahoney23@gmail.com,,,,,,,,,,,,,,
Gautham Hospital,Panayappilly  Cochin  Kerala-682005,Kerala,Cochin,682005,4842210510,gauthamhospital70@gmail.com,,,,,,,,,,,,,,
Gavali Hospital,"Plot no P-121, Rabale Naka",Maharashtra,Thane,400701,9029000543,gavalihospital2016@gmail.com,,,,,,,,,,,,,,
Gawade Accident And Meternity Hospital               ,"Gunawadi Road, Baramati. Dewlale Estate",Maharashtra,Baramati,413102,7083636758,gawadehospital79@gmail.com,,,,,,,,,,,,,,
Gawade Multispecility Hospital,"Pabal Road, Rajgurunagar, Tal- Khed, Dist- Pune",Maharashtra,Rajgurunagar,410505,9766334466,GAWADEHOSPITALKHED@GMAIL.COM,,,,,,,,,,,,,,
Gayathri Childrens Nursing Home,"Plot No:10, Road No.5, Survey 121,",Telangana,Medak,502295,9550923095,credit.gayathri@gmail.com,,,,,,,,,,,,,,
Gayathri Hospital ,"# 484 & 485, V V Mahal Road, Tirupathi, Chittor",Andhra Pradesh,Chittoor,517501,0877 - 2253714 / 2228082,gayathrihospitals@gmail.com,,,,,,,,,,,,,,
GAYATHRI HOSPITAL,"H.no :- 6-6-656,opp :Adharshnagar Board, Vavilala Ram Reddy Nagar, Karimnagar - 505001",Telangana,Karimnagar,505001,9121626240,GAYATHRIHOSPITALDR@GMAIL.COM,,,,,,,,,,,,,,
Gayathri Hospital Pvt Ltd,# 91 Magadi Chord Road Vijayanagar,Karnataka,Bengaluru,560040,8023352085,gayathri.hospital@gmail.com,,,,,,,,,,,,,,
Gayatri Hospital,B-2 Lohia Nagar,Uttar Pradesh,Ghaziabad,201001,0,GAYATRIHOSP@GMAIL.COM,,,,,,,,,,,,,,
Gayatri Hospital,"PLOT NO 142, SRIVENKATESHWARA COLONY ",Telangana,Hyderabad,500070,4029556542,GAYATRIHOSPITALSHYDTPA@GMAIL.COM,,,,,,,,,,,,,,
Gayatri Hospital,"Dasannapeta Road, Vizianagaram District, Andhra Pradesh - 535002",Andhra Pradesh,Vizianagaram,535002,9866701614,GAYATRIHOSPITALSVZM@GMAIL.COM,,,,,,,,,,,,,,
Gayatri Hospital - Shadnagar,"BESIDE SBI, RAILWAY STATION RODAD",Telangana,RangaReddy,509216,8548356806,GAYATRIHOSPITALS.SHADNRTPA@GMAIL.COM,,,,,,,,,,,,,,
Gayatri Hospital And Research Center,"2 ND FLOOR NIDHI COMPLEX, OPP. MEHSANA SOCIETY, NAVA VADAJ, AHMEDABAD",Gujarat,Ahmedabad,380013,27643337,gayatrimediclaim@gmail.com,,,,,,,,,,,,,,
Gayatri Hospitals - Shankarpalli,"H.No: 5-139/N/7, Shankarpalli",Telangana,RangaReddy,501203,08417 293199,GAYATRIHOSPITALSSKPTPA@GMAIL.COM,,,,,,,,,,,,,,
